"EMAIL","COMPANY","SUBJECT_LINE","EMAIL_BODY"
"nasaa.hellobirdiebirdie@gmail.com","Hello Birdie Birdie","Video concept for Hello Birdie Birdie","Hello! I came across Hello Birdie Birdie and your nursery decor really caught my attention.<br><br>My name is Jakob and I'm writing to you with a collaboration proposal.<br><br>I noticed a huge opportunity to increase your products sales through motion design (which has a proven impact on brand perception. 63% of people worldwide prefer watching a short video about a product before buying it.)<br><br>I specialize in motion design and I'd love to create a high-converting video for Hello Birdie Birdie.<br><br>Here's my <a href=""https://drive.google.com/drive/folders/1SYlJXIuq09szHy5lupgCCvxO5sm6SX0F?usp=sharing"">portfolio</a><br><br>If you're interested, I'd be happy to discuss the details. I would greatly appreciate any feedback! Have a wonderful day.<br><br>Best regards,<br>Jakob<br><br>Teammate | Jakob Rösler<br>Albert-Einstein-Straße 47, 02977 Hoyerswerda, Germany<br>jakob.roesler@teammateapp.site<br><br>Don't want to hear from us again? Just reply ""unsubscribe"" and I'll remove you right away."
"support@hexcal.com","Hexcal","Video concept for Hexcal","Hello! I came across Hexcal and your desk/home-office charging stations & tech organization really caught my attention.<br><br>My name is Jakob and I'm writing to you with a collaboration proposal.<br><br>I noticed a huge opportunity to increase your products sales through motion design (which has a proven impact on brand perception. 63% of people worldwide prefer watching a short video about a product before buying it.)<br><br>I specialize in motion design and I'd love to create a high-converting video for Hexcal.<br><br>Here's my <a href=""https://drive.google.com/drive/folders/1SYlJXIuq09szHy5lupgCCvxO5sm6SX0F?usp=sharing"">portfolio</a><br><br>If you're interested, I'd be happy to discuss the details. I would greatly appreciate any feedback! Have a wonderful day.<br><br>Best regards,<br>Jakob<br><br>Teammate | Jakob Rösler<br>Albert-Einstein-Straße 47, 02977 Hoyerswerda, Germany<br>jakob.roesler@teammateapp.site<br><br>Don't want to hear from us again? Just reply ""unsubscribe"" and I'll remove you right away."
"hello@shopcaselix.com","Caselix","Video concept for Caselix","Hello! I came across Caselix and your airpods cases / phone accessories really caught my attention.<br><br>My name is Jakob and I'm writing to you with a collaboration proposal.<br><br>I noticed a huge opportunity to increase your products sales through motion design (which has a proven impact on brand perception. 63% of people worldwide prefer watching a short video about a product before buying it.)<br><br>I specialize in motion design and I'd love to create a high-converting video for Caselix.<br><br>Here's my <a href=""https://drive.google.com/drive/folders/1SYlJXIuq09szHy5lupgCCvxO5sm6SX0F?usp=sharing"">portfolio</a><br><br>If you're interested, I'd be happy to discuss the details. I would greatly appreciate any feedback! Have a wonderful day.<br><br>Best regards,<br>Jakob<br><br>Teammate | Jakob Rösler<br>Albert-Einstein-Straße 47, 02977 Hoyerswerda, Germany<br>jakob.roesler@teammateapp.site<br><br>Don't want to hear from us again? Just reply ""unsubscribe"" and I'll remove you right away."
"help@lovehandle.com","LoveHandle","Video concept for LoveHandle","Hello! I came across LoveHandle and your phone grips & magsafe accessories really caught my attention.<br><br>My name is Jakob and I'm writing to you with a collaboration proposal.<br><br>I noticed a huge opportunity to increase your products sales through motion design (which has a proven impact on brand perception. 63% of people worldwide prefer watching a short video about a product before buying it.)<br><br>I specialize in motion design and I'd love to create a high-converting video for LoveHandle.<br><br>Here's my <a href=""https://drive.google.com/drive/folders/1SYlJXIuq09szHy5lupgCCvxO5sm6SX0F?usp=sharing"">portfolio</a><br><br>If you're interested, I'd be happy to discuss the details. I would greatly appreciate any feedback! Have a wonderful day.<br><br>Best regards,<br>Jakob<br><br>Teammate | Jakob Rösler<br>Albert-Einstein-Straße 47, 02977 Hoyerswerda, Germany<br>jakob.roesler@teammateapp.site<br><br>Don't want to hear from us again? Just reply ""unsubscribe"" and I'll remove you right away."
"sales@therooststand.com","Roost","Video concept for Roost","Hello! I came across Roost and your laptop stands really caught my attention.<br><br>My name is Jakob and I'm writing to you with a collaboration proposal.<br><br>I noticed a huge opportunity to increase your products sales through motion design (which has a proven impact on brand perception. 63% of people worldwide prefer watching a short video about a product before buying it.)<br><br>I specialize in motion design and I'd love to create a high-converting video for Roost.<br><br>Here's my <a href=""https://drive.google.com/drive/folders/1SYlJXIuq09szHy5lupgCCvxO5sm6SX0F?usp=sharing"">portfolio</a><br><br>If you're interested, I'd be happy to discuss the details. I would greatly appreciate any feedback! Have a wonderful day.<br><br>Best regards,<br>Jakob<br><br>Teammate | Jakob Rösler<br>Albert-Einstein-Straße 47, 02977 Hoyerswerda, Germany<br>jakob.roesler@teammateapp.site<br><br>Don't want to hear from us again? Just reply ""unsubscribe"" and I'll remove you right away."
"hello@velvetcaviar.com","Velvet Caviar","Video concept for Velvet Caviar","Hello! I came across Velvet Caviar and your magsafe accessories & phone cases really caught my attention.<br><br>My name is Jakob and I'm writing to you with a collaboration proposal.<br><br>I noticed a huge opportunity to increase your products sales through motion design (which has a proven impact on brand perception. 63% of people worldwide prefer watching a short video about a product before buying it.)<br><br>I specialize in motion design and I'd love to create a high-converting video for Velvet Caviar.<br><br>Here's my <a href=""https://drive.google.com/drive/folders/1SYlJXIuq09szHy5lupgCCvxO5sm6SX0F?usp=sharing"">portfolio</a><br><br>If you're interested, I'd be happy to discuss the details. I would greatly appreciate any feedback! Have a wonderful day.<br><br>Best regards,<br>Jakob<br><br>Teammate | Jakob Rösler<br>Albert-Einstein-Straße 47, 02977 Hoyerswerda, Germany<br>jakob.roesler@teammateapp.site<br><br>Don't want to hear from us again? Just reply ""unsubscribe"" and I'll remove you right away."
"support@smartish.com","Smartish","Video concept for Smartish","Hello! I came across Smartish and your phone cases, magsafe wallets & charging accessories really caught my attention.<br><br>My name is Jakob and I'm writing to you with a collaboration proposal.<br><br>I noticed a huge opportunity to increase your products sales through motion design (which has a proven impact on brand perception. 63% of people worldwide prefer watching a short video about a product before buying it.)<br><br>I specialize in motion design and I'd love to create a high-converting video for Smartish.<br><br>Here's my <a href=""https://drive.google.com/drive/folders/1SYlJXIuq09szHy5lupgCCvxO5sm6SX0F?usp=sharing"">portfolio</a><br><br>If you're interested, I'd be happy to discuss the details. I would greatly appreciate any feedback! Have a wonderful day.<br><br>Best regards,<br>Jakob<br><br>Teammate | Jakob Rösler<br>Albert-Einstein-Straße 47, 02977 Hoyerswerda, Germany<br>jakob.roesler@teammateapp.site<br><br>Don't want to hear from us again? Just reply ""unsubscribe"" and I'll remove you right away."
"info@magbak.com","MagBak","Video concept for MagBak","Hello! I came across MagBak and your magsafe wallets, car mounts & wireless charging accessories really caught my attention.<br><br>My name is Jakob and I'm writing to you with a collaboration proposal.<br><br>I noticed a huge opportunity to increase your products sales through motion design (which has a proven impact on brand perception. 63% of people worldwide prefer watching a short video about a product before buying it.)<br><br>I specialize in motion design and I'd love to create a high-converting video for MagBak.<br><br>Here's my <a href=""https://drive.google.com/drive/folders/1SYlJXIuq09szHy5lupgCCvxO5sm6SX0F?usp=sharing"">portfolio</a><br><br>If you're interested, I'd be happy to discuss the details. I would greatly appreciate any feedback! Have a wonderful day.<br><br>Best regards,<br>Jakob<br><br>Teammate | Jakob Rösler<br>Albert-Einstein-Straße 47, 02977 Hoyerswerda, Germany<br>jakob.roesler@teammateapp.site<br><br>Don't want to hear from us again? Just reply ""unsubscribe"" and I'll remove you right away."
"hello@studioneat.com","Studio Neat","Video concept for Studio Neat","Hello! I came across Studio Neat and your phone mounts& desk/pocket accessories really caught my attention.<br><br>My name is Jakob and I'm writing to you with a collaboration proposal.<br><br>I noticed a huge opportunity to increase your products sales through motion design (which has a proven impact on brand perception. 63% of people worldwide prefer watching a short video about a product before buying it.)<br><br>I specialize in motion design and I'd love to create a high-converting video for Studio Neat.<br><br>Here's my <a href=""https://drive.google.com/drive/folders/1SYlJXIuq09szHy5lupgCCvxO5sm6SX0F?usp=sharing"">portfolio</a><br><br>If you're interested, I'd be happy to discuss the details. I would greatly appreciate any feedback! Have a wonderful day.<br><br>Best regards,<br>Jakob<br><br>Teammate | Jakob Rösler<br>Albert-Einstein-Straße 47, 02977 Hoyerswerda, Germany<br>jakob.roesler@teammateapp.site<br><br>Don't want to hear from us again? Just reply ""unsubscribe"" and I'll remove you right away."
"support@screenskinz.co","Screen Skinz","Video concept for Screen Skinz","Hello! I came across Screen Skinz and your custom screen protectors really caught my attention.<br><br>My name is Jakob and I'm writing to you with a collaboration proposal.<br><br>I noticed a huge opportunity to increase your products sales through motion design (which has a proven impact on brand perception. 63% of people worldwide prefer watching a short video about a product before buying it.)<br><br>I specialize in motion design and I'd love to create a high-converting video for Screen Skinz.<br><br>Here's my <a href=""https://drive.google.com/drive/folders/1SYlJXIuq09szHy5lupgCCvxO5sm6SX0F?usp=sharing"">portfolio</a><br><br>If you're interested, I'd be happy to discuss the details. I would greatly appreciate any feedback! Have a wonderful day.<br><br>Best regards,<br>Jakob<br><br>Teammate | Jakob Rösler<br>Albert-Einstein-Straße 47, 02977 Hoyerswerda, Germany<br>jakob.roesler@teammateapp.site<br><br>Don't want to hear from us again? Just reply ""unsubscribe"" and I'll remove you right away."
"sales@wildflowercases.com","Wildflower Cases","Video concept for Wildflower Cases","Hello! I came across Wildflower Cases and your phone cases really caught my attention.<br><br>My name is Jakob and I'm writing to you with a collaboration proposal.<br><br>I noticed a huge opportunity to increase your products sales through motion design (which has a proven impact on brand perception. 63% of people worldwide prefer watching a short video about a product before buying it.)<br><br>I specialize in motion design and I'd love to create a high-converting video for Wildflower Cases.<br><br>Here's my <a href=""https://drive.google.com/drive/folders/1SYlJXIuq09szHy5lupgCCvxO5sm6SX0F?usp=sharing"">portfolio</a><br><br>If you're interested, I'd be happy to discuss the details. I would greatly appreciate any feedback! Have a wonderful day.<br><br>Best regards,<br>Jakob<br><br>Teammate | Jakob Rösler<br>Albert-Einstein-Straße 47, 02977 Hoyerswerda, Germany<br>jakob.roesler@teammateapp.site<br><br>Don't want to hear from us again? Just reply ""unsubscribe"" and I'll remove you right away."
"info@ohsnap.com","OhSnap","Video concept for OhSnap","Hello! I came across OhSnap and your magsafe phone grips really caught my attention.<br><br>My name is Jakob and I'm writing to you with a collaboration proposal.<br><br>I noticed a huge opportunity to increase your products sales through motion design (which has a proven impact on brand perception. 63% of people worldwide prefer watching a short video about a product before buying it.)<br><br>I specialize in motion design and I'd love to create a high-converting video for OhSnap.<br><br>Here's my <a href=""https://drive.google.com/drive/folders/1SYlJXIuq09szHy5lupgCCvxO5sm6SX0F?usp=sharing"">portfolio</a><br><br>If you're interested, I'd be happy to discuss the details. I would greatly appreciate any feedback! Have a wonderful day.<br><br>Best regards,<br>Jakob<br><br>Teammate | Jakob Rösler<br>Albert-Einstein-Straße 47, 02977 Hoyerswerda, Germany<br>jakob.roesler@teammateapp.site<br><br>Don't want to hear from us again? Just reply ""unsubscribe"" and I'll remove you right away."
"support@xenvopro.com","Xenvo","Video concept for Xenvo","Hello! I came across Xenvo and your smartphone camera lens kits really caught my attention.<br><br>My name is Jakob and I'm writing to you with a collaboration proposal.<br><br>I noticed a huge opportunity to increase your products sales through motion design (which has a proven impact on brand perception. 63% of people worldwide prefer watching a short video about a product before buying it.)<br><br>I specialize in motion design and I'd love to create a high-converting video for Xenvo.<br><br>Here's my <a href=""https://drive.google.com/drive/folders/1SYlJXIuq09szHy5lupgCCvxO5sm6SX0F?usp=sharing"">portfolio</a><br><br>If you're interested, I'd be happy to discuss the details. I would greatly appreciate any feedback! Have a wonderful day.<br><br>Best regards,<br>Jakob<br><br>Teammate | Jakob Rösler<br>Albert-Einstein-Straße 47, 02977 Hoyerswerda, Germany<br>jakob.roesler@teammateapp.site<br><br>Don't want to hear from us again? Just reply ""unsubscribe"" and I'll remove you right away."
"hello@gonimble.com","Nimble","Video concept for Nimble","Hello! I came across Nimble and your sustainable chargers & power banks really caught my attention.<br><br>My name is Jakob and I'm writing to you with a collaboration proposal.<br><br>I noticed a huge opportunity to increase your products sales through motion design (which has a proven impact on brand perception. 63% of people worldwide prefer watching a short video about a product before buying it.)<br><br>I specialize in motion design and I'd love to create a high-converting video for Nimble.<br><br>Here's my <a href=""https://drive.google.com/drive/folders/1SYlJXIuq09szHy5lupgCCvxO5sm6SX0F?usp=sharing"">portfolio</a><br><br>If you're interested, I'd be happy to discuss the details. I would greatly appreciate any feedback! Have a wonderful day.<br><br>Best regards,<br>Jakob<br><br>Teammate | Jakob Rösler<br>Albert-Einstein-Straße 47, 02977 Hoyerswerda, Germany<br>jakob.roesler@teammateapp.site<br><br>Don't want to hear from us again? Just reply ""unsubscribe"" and I'll remove you right away."
"Team@FitCord.com","FitCord","Video concept for FitCord","Hello! I came across FitCord and your resistance bands / home gym cords really caught my attention.<br><br>My name is Jakob and I'm writing to you with a collaboration proposal.<br><br>I noticed a huge opportunity to increase your products sales through motion design (which has a proven impact on brand perception. 63% of people worldwide prefer watching a short video about a product before buying it.)<br><br>I specialize in motion design and I'd love to create a high-converting video for FitCord.<br><br>Here's my <a href=""https://drive.google.com/drive/folders/1SYlJXIuq09szHy5lupgCCvxO5sm6SX0F?usp=sharing"">portfolio</a><br><br>If you're interested, I'd be happy to discuss the details. I would greatly appreciate any feedback! Have a wonderful day.<br><br>Best regards,<br>Jakob<br><br>Teammate | Jakob Rösler<br>Albert-Einstein-Straße 47, 02977 Hoyerswerda, Germany<br>jakob.roesler@teammateapp.site<br><br>Don't want to hear from us again? Just reply ""unsubscribe"" and I'll remove you right away."
"hello@usa-iron.com","USA Iron Kettlebells","Video concept for USA Iron Kettlebells","Hello! I came across USA Iron Kettlebells and your kettlebells really caught my attention.<br><br>My name is Jakob and I'm writing to you with a collaboration proposal.<br><br>I noticed a huge opportunity to increase your products sales through motion design (which has a proven impact on brand perception. 63% of people worldwide prefer watching a short video about a product before buying it.)<br><br>I specialize in motion design and I'd love to create a high-converting video for USA Iron Kettlebells.<br><br>Here's my <a href=""https://drive.google.com/drive/folders/1SYlJXIuq09szHy5lupgCCvxO5sm6SX0F?usp=sharing"">portfolio</a><br><br>If you're interested, I'd be happy to discuss the details. I would greatly appreciate any feedback! Have a wonderful day.<br><br>Best regards,<br>Jakob<br><br>Teammate | Jakob Rösler<br>Albert-Einstein-Straße 47, 02977 Hoyerswerda, Germany<br>jakob.roesler@teammateapp.site<br><br>Don't want to hear from us again? Just reply ""unsubscribe"" and I'll remove you right away."
"orders@prokettlebell.com","Pro Kettlebell","Video concept for Pro Kettlebell","Hello! I came across Pro Kettlebell and your kettlebells really caught my attention.<br><br>My name is Jakob and I'm writing to you with a collaboration proposal.<br><br>I noticed a huge opportunity to increase your products sales through motion design (which has a proven impact on brand perception. 63% of people worldwide prefer watching a short video about a product before buying it.)<br><br>I specialize in motion design and I'd love to create a high-converting video for Pro Kettlebell.<br><br>Here's my <a href=""https://drive.google.com/drive/folders/1SYlJXIuq09szHy5lupgCCvxO5sm6SX0F?usp=sharing"">portfolio</a><br><br>If you're interested, I'd be happy to discuss the details. I would greatly appreciate any feedback! Have a wonderful day.<br><br>Best regards,<br>Jakob<br><br>Teammate | Jakob Rösler<br>Albert-Einstein-Straße 47, 02977 Hoyerswerda, Germany<br>jakob.roesler@teammateapp.site<br><br>Don't want to hear from us again? Just reply ""unsubscribe"" and I'll remove you right away."
